repo,commits,findings,introduced,fixed,regressed
JamesWoolfenden/pike,50,65388,1308,0,0
antonputra/tutorials,50,7250,145,0,0
bridgecrewio/terragoat,50,1205,90,67,0
sidpalas/devops-directive-terraform-course,23,496,39,24,0
terraform-aws-modules/terraform-aws-eks,50,1150,35,12,0
poseidon/typhoon,50,1200,33,9,0
tungbq/devops-basics,50,1550,31,0,0
chadgeary/cloudblock,50,1500,31,1,0
GoogleCloudPlatform/cloud-foundation-fabric,50,1350,27,0,0
futurice/terraform-examples,50,850,27,5,0
awslabs/data-on-eks,50,872,24,12,0
aws-ia/terraform-aws-eks-blueprints,50,900,18,0,0
nozaq/terraform-aws-secure-baseline,50,188,12,10,0
gruntwork-io/terragrunt-infrastructure-live-example,50,12,4,4,0
mysticaltech/terraform-hcloud-kube-hetzner,50,0,0,0,0
antonbabenko/terraform-best-practices,50,0,0,0,0
Azure/terraform-azurerm-caf-enterprise-scale,50,0,0,0,0
Rapha-Borges/oke-free,50,0,0,0,0
